Accuracy,Precision,Recall,random_state
0.8733333333333333,0.6666666666666666,0.4166666666666667,0
0.8666666666666667,0.6428571428571429,0.375,1
0.9133333333333333,0.375,0.2727272727272727,2
0.8866666666666667,0.8,0.34782608695652173,3
0.9,0.6428571428571429,0.47368421052631576,4
0.8733333333333333,0.5625,0.42857142857142855,5
0.8733333333333333,0.5454545454545454,0.3,6
0.92,0.6666666666666666,0.5,7
0.9066666666666666,0.6666666666666666,0.6,8
0.8866666666666667,0.8888888888888888,0.3333333333333333,9
0.88,0.25,0.25,10
0.8666666666666667,0.8,0.3076923076923077,11
0.8866666666666667,0.7272727272727273,0.36363636363636365,12
0.86,0.55,0.4782608695652174,13
0.8733333333333333,0.7333333333333333,0.4230769230769231,14
0.86,0.5833333333333334,0.30434782608695654,15
0.88,0.875,0.2916666666666667,16
0.84,0.375,0.3,17
0.9266666666666666,0.7142857142857143,0.5882352941176471,18
0.8466666666666667,0.45454545454545453,0.22727272727272727,19
0.88,0.3333333333333333,0.058823529411764705,20
0.9133333333333333,0.7,0.4117647058823529,21
0.88,0.5454545454545454,0.3157894736842105,22
0.8533333333333334,0.5,0.22727272727272727,23
0.8933333333333333,0.7692307692307693,0.43478260869565216,24
0.8866666666666667,0.6666666666666666,0.21052631578947367,25
0.8866666666666667,0.42857142857142855,0.1875,26
0.8733333333333333,0.8571428571428571,0.25,27
0.86,0.5454545454545454,0.2727272727272727,28
0.8333333333333334,0.4117647058823529,0.3181818181818182,29
0.9066666666666666,0.6666666666666666,0.25,30
0.92,0.5384615384615384,0.5384615384615384,31
0.88,0.5833333333333334,0.35,32
0.88,0.625,0.45454545454545453,33
0.9,0.7,0.3684210526315789,34
0.8533333333333334,0.75,0.23076923076923078,35
0.8933333333333333,0.7272727272727273,0.38095238095238093,36
0.8933333333333333,0.6428571428571429,0.45,37
0.8933333333333333,0.631578947368421,0.5714285714285714,38
0.9133333333333333,0.7692307692307693,0.5,39
0.8933333333333333,1.0,0.23809523809523808,40
0.88,0.42857142857142855,0.375,41
0.8733333333333333,0.5555555555555556,0.25,42
0.8933333333333333,0.7272727272727273,0.38095238095238093,43
0.8933333333333333,0.6153846153846154,0.42105263157894735,44
0.88,1.0,0.35714285714285715,45
0.8866666666666667,0.6666666666666666,0.38095238095238093,46
0.8733333333333333,0.4117647058823529,0.4375,47
0.8533333333333334,0.45454545454545453,0.23809523809523808,48
0.8933333333333333,0.8571428571428571,0.2857142857142857,49
0.9,0.6363636363636364,0.3888888888888889,50
0.8866666666666667,0.5714285714285714,0.2222222222222222,51
0.8866666666666667,0.5,0.29411764705882354,52
0.8866666666666667,0.5384615384615384,0.3888888888888889,53
0.88,0.8181818181818182,0.36,54
0.9,0.5294117647058824,0.5625,55
0.8866666666666667,0.5882352941176471,0.5,56
0.9266666666666666,0.6666666666666666,0.42857142857142855,57
0.86,0.8333333333333334,0.3448275862068966,58
0.8666666666666667,0.5625,0.4090909090909091,59
0.9133333333333333,0.8333333333333334,0.29411764705882354,60
0.9066666666666666,0.8181818181818182,0.42857142857142855,61
0.8666666666666667,0.5555555555555556,0.23809523809523808,62
0.8866666666666667,0.8333333333333334,0.23809523809523808,63
0.8733333333333333,0.6666666666666666,0.34782608695652173,64
0.9,0.625,0.29411764705882354,65
0.88,0.8181818181818182,0.36,66
0.8933333333333333,0.8333333333333334,0.25,67
0.8533333333333334,0.5384615384615384,0.30434782608695654,68
0.8533333333333334,0.4444444444444444,0.4,69
0.9,1.0,0.34782608695652173,70
0.8866666666666667,0.4166666666666667,0.3333333333333333,71
0.8866666666666667,0.75,0.391304347826087,72
0.92,0.75,0.375,73
0.88,0.5384615384615384,0.3684210526315789,74
0.9066666666666666,0.6,0.375,75
0.9066666666666666,0.7777777777777778,0.3684210526315789,76
0.8933333333333333,1.0,0.36,77
0.8733333333333333,0.8181818181818182,0.34615384615384615,78
0.84,0.5555555555555556,0.2,79
0.86,0.5555555555555556,0.22727272727272727,80
0.92,0.7142857142857143,0.3333333333333333,81
0.9,0.8571428571428571,0.3,82
0.8933333333333333,0.6,0.3333333333333333,83
0.86,0.6428571428571429,0.36,84
0.8666666666666667,0.5625,0.4090909090909091,85
0.86,0.5555555555555556,0.22727272727272727,86
0.8866666666666667,0.8181818181818182,0.375,87
0.9266666666666666,0.7272727272727273,0.5,88
0.88,0.7142857142857143,0.23809523809523808,89
0.9066666666666666,0.7,0.3888888888888889,90
0.8733333333333333,0.6,0.4090909090909091,91
0.8933333333333333,0.7,0.35,92
0.8933333333333333,0.5454545454545454,0.35294117647058826,93
0.8466666666666667,0.5,0.2608695652173913,94
0.8733333333333333,0.4666666666666667,0.3888888888888889,95
0.8733333333333333,0.6666666666666666,0.2727272727272727,96
0.8666666666666667,0.5454545454545454,0.2857142857142857,97
0.8666666666666667,0.625,0.22727272727272727,98
0.88,0.6,0.42857142857142855,99
0.8466666666666667,0.4,0.19047619047619047,100
0.88,0.16666666666666666,0.07142857142857142,101
0.9,0.75,0.42857142857142855,102
0.8733333333333333,0.5714285714285714,0.2,103
0.9133333333333333,0.6,0.4,104
0.8933333333333333,0.5,0.3125,105
0.88,0.4,0.25,106
0.8866666666666667,0.5833333333333334,0.3684210526315789,107
0.8733333333333333,0.8,0.32,108
0.8666666666666667,0.6470588235294118,0.44,109
0.86,0.5,0.19047619047619047,110
0.8533333333333334,0.4166666666666667,0.25,111
0.9133333333333333,0.5833333333333334,0.4666666666666667,112
0.8733333333333333,0.3,0.2,113
0.8666666666666667,0.5,0.3,114
0.8866666666666667,0.5833333333333334,0.3684210526315789,115
0.8733333333333333,0.75,0.14285714285714285,116
0.8333333333333334,0.7142857142857143,0.17857142857142858,117
0.84,0.5714285714285714,0.3076923076923077,118
0.88,0.75,0.2727272727272727,119
0.8466666666666667,1.0,0.14814814814814814,120
0.94,0.6666666666666666,0.5,121
0.8866666666666667,0.5384615384615384,0.3888888888888889,122
0.92,0.6428571428571429,0.5625,123
0.9133333333333333,0.5833333333333334,0.4666666666666667,124
0.86,0.6,0.13636363636363635,125
0.8733333333333333,0.875,0.28,126
0.8866666666666667,0.625,0.2631578947368421,127
0.9,0.6,0.5,128
0.8666666666666667,0.6470588235294118,0.44,129
0.8866666666666667,0.8571428571428571,0.2727272727272727,130
0.92,0.8333333333333334,0.3125,131
0.88,0.4166666666666667,0.3125,132
0.8733333333333333,0.45454545454545453,0.2777777777777778,133
0.8666666666666667,0.5,0.25,134
0.9133333333333333,0.7272727272727273,0.4444444444444444,135
0.9,0.5454545454545454,0.375,136
0.88,0.6153846153846154,0.38095238095238093,137
0.9266666666666666,1.0,0.35294117647058826,138
0.84,0.3333333333333333,0.2,139
0.9133333333333333,0.5833333333333334,0.4666666666666667,140
0.9133333333333333,0.8181818181818182,0.45,141
0.88,0.8,0.19047619047619047,142
0.9066666666666666,0.6153846153846154,0.47058823529411764,143
0.8933333333333333,0.6923076923076923,0.42857142857142855,144
0.8933333333333333,0.7,0.35,145
0.8466666666666667,0.6666666666666666,0.23076923076923078,146
0.8466666666666667,0.4,0.3,147
0.8533333333333334,0.4375,0.35,148
0.9,0.8571428571428571,0.3,149
0.88,0.6666666666666666,0.2857142857142857,150
0.8933333333333333,0.42857142857142855,0.42857142857142855,151
0.88,0.6428571428571429,0.4090909090909091,152
0.88,0.625,0.25,153
