Accuracy,Precision,Recall,random_state
0.9133333333333333,0.7,0.4117647058823529,0
0.88,0.7,0.3181818181818182,1
0.92,0.36363636363636365,0.4444444444444444,2
0.8733333333333333,0.5555555555555556,0.25,3
0.88,0.5384615384615384,0.3684210526315789,4
0.8733333333333333,0.5454545454545454,0.3,5
0.8933333333333333,0.625,0.2777777777777778,6
0.9,0.8571428571428571,0.3,7
0.9133333333333333,0.7142857142857143,0.5263157894736842,8
0.86,0.6666666666666666,0.17391304347826086,9
0.8866666666666667,0.38461538461538464,0.35714285714285715,10
0.8733333333333333,0.8888888888888888,0.3076923076923077,11
0.9,0.7272727272727273,0.4,12
0.8533333333333334,0.5625,0.375,13
0.8533333333333334,0.75,0.23076923076923078,14
0.9133333333333333,0.8571428571428571,0.5217391304347826,15
0.8533333333333334,1.0,0.21428571428571427,16
0.8133333333333334,0.391304347826087,0.391304347826087,17
0.9066666666666666,0.6923076923076923,0.47368421052631576,18
0.8866666666666667,0.5,0.058823529411764705,19
0.8866666666666667,0.3,0.23076923076923078,20
0.92,0.75,0.5,21
0.9133333333333333,0.8571428571428571,0.3333333333333333,22
0.84,0.625,0.19230769230769232,23
0.8866666666666667,0.6666666666666666,0.3,24
0.9066666666666666,0.7142857142857143,0.29411764705882354,25
0.9066666666666666,0.7142857142857143,0.29411764705882354,26
0.86,1.0,0.2222222222222222,27
0.9133333333333333,0.6666666666666666,0.375,28
0.8733333333333333,0.42857142857142855,0.16666666666666666,29
0.9,0.625,0.29411764705882354,30
0.94,0.625,0.45454545454545453,31
0.9,0.6666666666666666,0.42105263157894735,32
0.8733333333333333,0.6153846153846154,0.36363636363636365,33
0.9,0.75,0.42857142857142855,34
0.8666666666666667,0.8,0.3076923076923077,35
0.8733333333333333,0.5714285714285714,0.2,36
0.8266666666666667,0.5555555555555556,0.35714285714285715,37
0.9266666666666666,0.7333333333333333,0.6111111111111112,38
0.8866666666666667,0.46153846153846156,0.375,39
0.9266666666666666,1.0,0.3125,40
0.9,0.6666666666666666,0.3333333333333333,41
0.9133333333333333,0.75,0.2,42
0.8666666666666667,1.0,0.2,43
0.88,0.6,0.3,44
0.8866666666666667,0.5714285714285714,0.42105263157894735,45
0.88,0.75,0.375,46
0.9,0.46153846153846156,0.42857142857142855,47
0.8333333333333334,0.7,0.2413793103448276,48
0.9133333333333333,0.6363636363636364,0.4375,49
0.92,0.9090909090909091,0.47619047619047616,50
0.9066666666666666,0.7142857142857143,0.29411764705882354,51
0.8933333333333333,1.0,0.2727272727272727,52
0.8466666666666667,0.2857142857142857,0.23529411764705882,53
0.9,0.7,0.3684210526315789,54
0.8866666666666667,0.5384615384615384,0.3888888888888889,55
0.9,0.8181818181818182,0.4090909090909091,56
0.92,1.0,0.3333333333333333,57
0.9066666666666666,0.875,0.35,58
0.9066666666666666,0.6428571428571429,0.5,59
